Fund ID,Fund,Department ID,Department,Short Title,Link to Website,Department Description,Control Officer,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014
4,Sustainable Communities ,,Department of Parks and Parkways,Parks and Parkways,,"The mission of the Department of Parks and Parkways is to efficiently and effectively manage, develop, beautify, preserve and protect approximately 2,000 acres of public green space, including neutral grounds, parks, historic sites, playgrounds, two golf courses and approximately 500,000 public trees. ",,7396550,7378695,4101958,4266686,5369417,6392264,5969740,6867557,6518978,7037667,7971248,7523639,6251796,3827744,5029030,6702502,7431749,6314645,6790738,16371507,0,0
5,Children and Families ,,New Orleans Public Library,Library,,"The New Orleans Public Library inspires the individual and enriches the community through access to information, resources, technology and programming that is delivered by knowledgeable and creative staff. ",,7581308,8321436,9416589,14577862,123244179,7281892,10367711,8574559,12449955,12112000,12974861,7774471,6005815,2451054,4589549,6362509,7258720,7623511,8627899,22095410,0,0
4,Sustainable Communities ,,Historic District Landmarks Commission/Vieux Carre Commission,HDLC/VCC,,"The mission of the HDLC is to promote historic districts and landmarks for the educational, cultural, economic and general welfare of the public through the preservation, protection and regulation of buildings, sites, monuments, structures and areas of historic interest or importance within the City of New Orleans. The mission of the Vieux Carré Commission is to protect, preserve and maintain the distinct architectural, historic character and zoning integrity of the Vieux Carré as mandated by the Louisiana State Constitution, the City Charter, the City Code and the Comprehensive Zoning Ordinance. 
",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Open and Effective Government,,Alcoholic Beverages Control Board,Alcoholic Bvg Ctrl. Bd.,,The New Orleans Alcoholic Beverage Control Board functions to hear and decide cases for suspension or revocation of alcoholic beverage permits and decide appeals from persons who have been denied alcoholic beverage permits by an administrative official in the enforcement of the Beer and Alcoholic Beverage ordinance. ,,1000,1158,1500,1500,1500,1455,1179,1500,1500,1500,1500,0,50,50,1295,1401,526,34,14,0,0,0
4,Sustainable Communities ,,City Planning Commission,CPC,,"The mission of the City Planning Commission is to promote the public health, safety and welfare of the New Orleans community through subdivision regulation, capital improvement plans, major street plans and land use planning. The Commission also makes recommendations to the City Council on zoning matters, neighborhood improvements, environmental protection, capital budget amendments, ordinances and other policy matters. ",,1537423,1746344,830751,1459467,1430105,1429090,1342012,1794436,1781439,1594134,1475357,1450308,1312450,877483,985250,1149491,1321729,1269541,1513945,1568087,0,0
5,Children and Families ,,"Mosquito, Termite and Rodent Control Board",Mosquito Control Bd.,,The mission of the Mosquito Termite and Rodent Control Board is to administer and evaluate mosquito control activities and monitor the populations of disease and virus transmitting mosquitoes and consult with appropriate authorities,,2403237,2960200,2669351,3152385,3699417,3765488,2929186,3201173,2460039,2743581,2870091,1989066,2274721,2581215,3188383,2464933,3074438,2483826,2377693,2832062,0,0
5,Children and Families ,,New Orleans Museum of Art,NOMA,,"The New Orleans Museum of Art’s mission is to collect, preserve, display, and interpret original works of art which best reflect the artistic achievements of all cultures throughout history; to provide programs of fine arts information, education and appreciation to a wide audience; and represent in its overall activities the multi-cultural diversity of its city, state and region. 
",,891664,208645,104364,104364,250000,242500,196425,196000,167772,151683,128931,225000,164483,104360,104361,252090,242499,196425,176400,237008,0,0
99,Overview,,Miscellaneous,Miscellaneous,,"Miscellaneous departments are divisions not in the City Charter. Various departments oversee the day-to-day functioning of these divisions. 
",,107794371,8073243,4318718,25811790,10414639,10027907,11927855,17113220,22017321,33008326,38590573,4366574,6349748,32851980,17073110,22553319,25220591,23490664,17354846,17354846,0,0
1,Open and Effective Government,,Miscellaneous,Miscellaneous,,,,0,0,0,0,0,0,0,0,4183291,6271582,10419455,0,0,0,0,0,0,0,0,0,0,0
2,Public Safety ,,Miscellaneous,Miscellaneous,,,,0,0,0,0,0,0,0,0,2201732,6601665,11191266,0,0,0,0,0,0,0,0,0,0,0
